DNAH10	dynein, axonemal, heavy chain 10	12q24.31	protein_coding	56 / 437 (12.81%)	775 / 10,188	81		
CNTNAP5	contactin associated protein-like 5	2q14.3	protein_coding	55 / 437 (12.59%)	711 / 10,188	56		
TENM4	teneurin transmembrane protein 4	11q14.1	protein_coding	55 / 437 (12.59%)	591 / 10,188	66		
EPB41L3	erythrocyte membrane protein band 4.1-like 3	18p11.31	protein_coding	55 / 437 (12.59%)	446 / 10,188	60		
PXDNL	peroxidasin-like	8q11.22, 8q11.23	protein_coding	55 / 437 (12.59%)	655 / 10,188	62		
UBR4	ubiquitin protein ligase E3 component n-recognin 4	1p36.13	protein_coding	55 / 437 (12.59%)	705 / 10,188	75		
ZBTB20	zinc finger and BTB domain containing 20	3q13.31	protein_coding	55 / 437 (12.59%)	342 / 10,188	41		
VPS13D	vacuolar protein sorting 13 homolog D (S. cerevisiae)	1p36.22, 1p36.21	protein_coding	54 / 437 (12.36%)	610 / 10,188	62		
MYBBP1A	MYB binding protein (P160) 1a	17p13.2	protein_coding	54 / 437 (12.36%)	288 / 10,188	30		
MAP2	microtubule-associated protein 2	2q34	protein_coding	54 / 437 (12.36%)	535 / 10,188	63		
DCC	DCC netrin 1 receptor	18q21.2	protein_coding	54 / 437 (12.36%)	656 / 10,188	60		
TRPS1	trichorhinophalangeal syndrome I	8q23.3	protein_coding	54 / 437 (12.36%)	546 / 10,188	69		
BSN	bassoon presynaptic cytomatrix protein	3p21.31	protein_coding	53 / 437 (12.13%)	574 / 10,188	69		
SPEG	SPEG complex locus	2q35	protein_coding	53 / 437 (12.13%)	593 / 10,188	67		
DSCAML1	Down syndrome cell adhesion molecule like 1	11q23.3	protein_coding	53 / 437 (12.13%)	566 / 10,188	68		
ATP10A	ATPase, class V, type 10A	15q12	protein_coding	53 / 437 (12.13%)	496 / 10,188	64		
SSPO	SCO-spondin	7q36.1	protein_coding	53 / 437 (12.13%)	787 / 10,188	73		
PLXNA4	plexin A4	7q32.3	protein_coding	53 / 437 (12.13%)	709 / 10,188	66		
CENPF	centromere protein F, 350/400kDa	1q41	protein_coding	53 / 437 (12.13%)	520 / 10,188	60		
DOCK2	dedicator of cytokinesis 2	5q35.1	protein_coding	53 / 437 (12.13%)	607 / 10,188	65		
CACNA1E	calcium channel, voltage-dependent, R type, alpha 1E subunit	1q25.3	protein_coding	53 / 437 (12.13%)	844 / 10,188	60		
CELSR1	cadherin, EGF LAG seven-pass G-type receptor 1	22q13.31	protein_coding	53 / 437 (12.13%)	513 / 10,188	59		
CACNA1C	calcium channel, voltage-dependent, L type, alpha 1C subunit	12p13.33	protein_coding	53 / 437 (12.13%)	697 / 10,188	65		
MYCBP2	MYC binding protein 2, E3 ubiquitin protein ligase	13q22.3	protein_coding	53 / 437 (12.13%)	618 / 10,188	75		
TENM3	teneurin transmembrane protein 3	4q34.3, 4q35.1	protein_coding	53 / 437 (12.13%)	704 / 10,188	63		
CNTNAP2	contactin associated protein-like 2	7q35, 7q36.1	protein_coding	53 / 437 (12.13%)	704 / 10,188	60		
REV3L	REV3-like, polymerase (DNA directed), zeta, catalytic subunit	6q21	protein_coding	53 / 437 (12.13%)	427 / 10,188	64		
TECTA	tectorin alpha	11q23.3	protein_coding	53 / 437 (12.13%)	570 / 10,188	67		
DSCAM	Down syndrome cell adhesion molecule	21q22.2	protein_coding	53 / 437 (12.13%)	750 / 10,188	67		
LRP1	low density lipoprotein receptor-related protein 1	12q13.3	protein_coding	52 / 437 (11.90%)	736 / 10,188	83		
IGSF10	immunoglobulin superfamily, member 10	3q25.1	protein_coding	52 / 437 (11.90%)	527 / 10,188	56		
FAM135B	family with sequence similarity 135, member B	8q24.23	protein_coding	52 / 437 (11.90%)	838 / 10,188	59		
DOCK3	dedicator of cytokinesis 3	3p21.2	protein_coding	52 / 437 (11.90%)	495 / 10,188	43		
DCLK1	doublecortin-like kinase 1	13q13.3	protein_coding	52 / 437 (11.90%)	342 / 10,188	58		
TIAM1	T-cell lymphoma invasion and metastasis 1	21q22.11	protein_coding	52 / 437 (11.90%)	490 / 10,188	56		
ANKRD11	ankyrin repeat domain 11	16q24.3	protein_coding	52 / 437 (11.90%)	480 / 10,188	69		
ZFHX3	zinc finger homeobox 3	16q22.2, 16q22.3	protein_coding	52 / 437 (11.90%)	694 / 10,188	93	Cancer Gene Census	
NRXN3	neurexin 3	14q24.3, 14q31.1	protein_coding	52 / 437 (11.90%)	602 / 10,188	63		
ZNF831	zinc finger protein 831	20q13.32	protein_coding	52 / 437 (11.90%)	629 / 10,188	55		
CNTN6	contactin 6	3p26.3	protein_coding	52 / 437 (11.90%)	445 / 10,188	49		
ALMS1	Alstrom syndrome 1	2p13.1	protein_coding	51 / 437 (11.67%)	628 / 10,188	68		
TRIO	trio Rho guanine nucleotide exchange factor	5p15.2	protein_coding	51 / 437 (11.67%)	532 / 10,188	61		
KMT2B	lysine (K)-specific methyltransferase 2B	19q13.12	protein_coding	51 / 437 (11.67%)	518 / 10,188	62		
CDH8	cadherin 8, type 2	16q21	protein_coding	51 / 437 (11.67%)	508 / 10,188	60		
ITPR3	inositol 1,4,5-trisphosphate receptor, type 3	6p21.31	protein_coding	51 / 437 (11.67%)	464 / 10,188	68		
FLNC	filamin C, gamma	7q32.1	protein_coding	51 / 437 (11.67%)	656 / 10,188	61		
VCAN	versican	5q14.2, 5q14.3	protein_coding	51 / 437 (11.67%)	660 / 10,188	78		
TRPA1	transient receptor potential cation channel, subfamily A, member 1	8q21.11	protein_coding	51 / 437 (11.67%)	454 / 10,188	64		
UBR5	ubiquitin protein ligase E3 component n-recognin 5	8q22.3	protein_coding	51 / 437 (11.67%)	481 / 10,188	47	Cancer Gene Census	
SRCAP	Snf2-related CREBBP activator protein	16p11.2	protein_coding	51 / 437 (11.67%)	574 / 10,188	65		
EP400	E1A binding protein p400	12q24.33	protein_coding	51 / 437 (11.67%)	532 / 10,188	64		
DNAH1	dynein, axonemal, heavy chain 1	3p21.1	protein_coding	51 / 437 (11.67%)	569 / 10,188	62		
PDZD2	PDZ domain containing 2	5p13.3	protein_coding	51 / 437 (11.67%)	609 / 10,188	65		
TCHH	trichohyalin	1q21.3	protein_coding	51 / 437 (11.67%)	458 / 10,188	57		
PTPRD	protein tyrosine phosphatase, receptor type, D	9p24.1, 9p23	protein_coding	50 / 437 (11.44%)	689 / 10,188	58		
DLC1	DLC1 Rho GTPase activating protein	8p22	protein_coding	50 / 437 (11.44%)	457 / 10,188	54		
HECW1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1	7p14.1, 7p13	protein_coding	50 / 437 (11.44%)	615 / 10,188	57		
THSD7B	thrombospondin, type I, domain containing 7B	2q22.1	protein_coding	50 / 437 (11.44%)	676 / 10,188	53		
CELSR3	cadherin, EGF LAG seven-pass G-type receptor 3	3p21.31	protein_coding	50 / 437 (11.44%)	444 / 10,188	72		
HSPG2	heparan sulfate proteoglycan 2	1p36.12	protein_coding	50 / 437 (11.44%)	594 / 10,188	68		
LYST	lysosomal trafficking regulator	1q42.3	protein_coding	50 / 437 (11.44%)	588 / 10,188	63		
RIMS1	regulating synaptic membrane exocytosis 1	6q13	protein_coding	50 / 437 (11.44%)	557 / 10,188	54		
CHD7	chromodomain helicase DNA binding protein 7	8q12.2	protein_coding	50 / 437 (11.44%)	571 / 10,188	68		
CREBBP	CREB binding protein	16p13.3	protein_coding	50 / 437 (11.44%)	569 / 10,188	65	Cancer Gene Census	
UNC79	unc-79 homolog (C. elegans)	14q32.12	protein_coding	50 / 437 (11.44%)	667 / 10,188	54		
FRY	furry homolog (Drosophila)	13q13.1	protein_coding	50 / 437 (11.44%)	555 / 10,188	66		
SLITRK1	SLIT and NTRK-like family, member 1	13q31.1	protein_coding	50 / 437 (11.44%)	511 / 10,188	63		
MYO16	myosin XVI	13q33.3	protein_coding	50 / 437 (11.44%)	533 / 10,188	53		
PEG3	paternally expressed 3	19q13.43	protein_coding	49 / 437 (11.21%)	702 / 10,188	64		
DIDO1	death inducer-obliterator 1	20q13.33	protein_coding	49 / 437 (11.21%)	557 / 10,188	53		
FAT1	FAT atypical cadherin 1	4q35.2	protein_coding	49 / 437 (11.21%)	868 / 10,188	82	Cancer Gene Census	
ZNF521	zinc finger protein 521	18q11.2	protein_coding	49 / 437 (11.21%)	483 / 10,188	49	Cancer Gene Census	
CDH1	cadherin 1, type 1, E-cadherin (epithelial)	16q22.1	protein_coding	49 / 437 (11.21%)	372 / 10,188	50	Cancer Gene Census	
XKR4	XK, Kell blood group complex subunit-related family, member 4	8q12.1	protein_coding	49 / 437 (11.21%)	646 / 10,188	56		
HYDIN	HYDIN, axonemal central pair apparatus protein	16q22.2	protein_coding	49 / 437 (11.21%)	865 / 10,188	64		
COL5A1	collagen, type V, alpha 1	9q34.3	protein_coding	49 / 437 (11.21%)	601 / 10,188	60		
DYSF	dysferlin	2p13.2	protein_coding	49 / 437 (11.21%)	612 / 10,188	68		
