TP53	tumor protein p53	17p13.1	protein_coding	355 / 986 (36.00%)	3,956 / 10,188	232	Cancer Gene Census	
PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit alpha	3q26.32	protein_coding	337 / 986 (34.18%)	1,388 / 10,188	81	Cancer Gene Census	
TTN	titin	2q31.2	protein_coding	243 / 986 (24.65%)	3,852 / 10,188	472		
MUC4	mucin 4, cell surface associated	3q29	protein_coding	197 / 986 (19.98%)	1,300 / 10,188	141		
MUC16	mucin 16, cell surface associated	19p13.2	protein_coding	149 / 986 (15.11%)	2,459 / 10,188	204		
CDH1	cadherin 1, type 1, E-cadherin (epithelial)	16q22.1	protein_coding	145 / 986 (14.71%)	372 / 10,188	129	Cancer Gene Census	
GATA3	GATA binding protein 3	10p14	protein_coding	137 / 986 (13.89%)	356 / 10,188	102	Cancer Gene Census	
MUC2	mucin 2, oligomeric mucus/gel-forming	11p15.5	processed_transcript	114 / 986 (11.56%)	696 / 10,188	58		
KMT2C	lysine (K)-specific methyltransferase 2C	7q36.1	protein_coding	99 / 986 (10.04%)	981 / 10,188	124	Cancer Gene Census	
RYR2	ryanodine receptor 2 (cardiac)	1q43	protein_coding	89 / 986 (9.03%)	1,573 / 10,188	115		
MAP3K1	mitogen-activated protein kinase kinase kinase 1, E3 ubiquitin protein ligase	5q11.2	protein_coding	86 / 986 (8.72%)	318 / 10,188	123	Cancer Gene Census	
SYNE1	spectrin repeat containing, nuclear envelope 1	6q25.2	protein_coding	81 / 986 (8.22%)	1,583 / 10,188	110		
HMCN1	hemicentin 1	1q25.3, 1q31.1	protein_coding	79 / 986 (8.01%)	1,144 / 10,188	101		
USH2A	Usher syndrome 2A (autosomal recessive, mild)	1q41	protein_coding	77 / 986 (7.81%)	1,391 / 10,188	88		
SPTA1	spectrin, alpha, erythrocytic 1	1q23.1	protein_coding	73 / 986 (7.40%)	1,124 / 10,188	79		
FLG	filaggrin	1q21.3	protein_coding	71 / 986 (7.20%)	1,422 / 10,188	86		
DST	dystonin	6p12.1	protein_coding	69 / 986 (7.00%)	1,175 / 10,188	112		
RYR3	ryanodine receptor 3	15q13.3, 15q14	protein_coding	67 / 986 (6.80%)	1,058 / 10,188	75		
DMD	dystrophin	Xp21.2, Xp21.1	protein_coding	64 / 986 (6.49%)	940 / 10,188	87		
ZFHX4	zinc finger homeobox 4	8q21.13	protein_coding	63 / 986 (6.39%)	1,286 / 10,188	69		
OBSCN	obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF	1q42.13	protein_coding	62 / 986 (6.29%)	1,314 / 10,188	82		
NEB	nebulin	2q23.3	protein_coding	61 / 986 (6.19%)	1,037 / 10,188	77		
PTEN	phosphatase and tensin homolog	10q23.31	protein_coding	60 / 986 (6.09%)	916 / 10,188	59	Cancer Gene Census	
MUC17	mucin 17, cell surface associated	7q22.1	protein_coding	59 / 986 (5.98%)	1,104 / 10,188	65		
SYNE2	spectrin repeat containing, nuclear envelope 2	14q23.2	protein_coding	57 / 986 (5.78%)	890 / 10,188	76		
MACF1	microtubule-actin crosslinking factor 1	1p34.3	protein_coding	57 / 986 (5.78%)	1,018 / 10,188	69		
NCOR1	nuclear receptor corepressor 1	17p12, 17p11.2	protein_coding	56 / 986 (5.68%)	501 / 10,188	59	Cancer Gene Census	
APOB	apolipoprotein B	2p24.1	protein_coding	55 / 986 (5.58%)	1,083 / 10,188	68		
NF1	neurofibromin 1	17q11.2	protein_coding	54 / 986 (5.48%)	761 / 10,188	61	Cancer Gene Census	
MUC5B	mucin 5B, oligomeric mucus/gel-forming	11p15.5	protein_coding	54 / 986 (5.48%)	978 / 10,188	59		
PKHD1L1	polycystic kidney and hepatic disease 1 (autosomal recessive)-like 1	8q23.1, 8q23.2	protein_coding	54 / 986 (5.48%)	946 / 10,188	64		
CSMD1	CUB and Sushi multiple domains 1	8p23.2	protein_coding	53 / 986 (5.38%)	1,188 / 10,188	60		
ABCA13	ATP-binding cassette, sub-family A (ABC1), member 13	7p12.3	protein_coding	53 / 986 (5.38%)	955 / 10,188	66		
CCDC168	coiled-coil domain containing 168	13q33.1	protein_coding	52 / 986 (5.27%)	360 / 10,188	86		
CSMD3	CUB and Sushi multiple domains 3	8q23.3	protein_coding	51 / 986 (5.17%)	1,631 / 10,188	59		
GOLGA6L6	golgin A6 family-like 6	15q11.2	protein_coding	51 / 986 (5.17%)	242 / 10,188	19		
FAT3	FAT atypical cadherin 3	11q14.3	protein_coding	51 / 986 (5.17%)	1,167 / 10,188	65		
HUWE1	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase	Xp11.22	protein_coding	49 / 986 (4.97%)	712 / 10,188	59		
RYR1	ryanodine receptor 1 (skeletal)	19q13.2	protein_coding	49 / 986 (4.97%)	1,089 / 10,188	54		
DNAH11	dynein, axonemal, heavy chain 11	7p15.3	protein_coding	48 / 986 (4.87%)	928 / 10,188	56		
